epoch,train_loss,val_loss,train_direction_loss,val_direction_loss,train_magnitude_loss,val_magnitude_loss,train_accuracy,val_accuracy,train_macro_f1,val_macro_f1,train_magnitude_mae,val_magnitude_mae,train_magnitude_mse,val_magnitude_mse,lr,runtime_s
1,1.0941475103222567,1.0521528062273244,0.5862367358227668,0.5770913497346346,1.0158215383508367,0.9501229271536967,0.3405443126308444,0.3180327868852459,0.33306985027822517,0.3024068923325324,0.017693711529223968,0.016261595060102274,0.0006705539590898129,0.000498315764421246,9.99802624146293e-06,20.943156719207764
2,1.0724268661706662,1.0501564293611245,0.5848359187749076,0.5751176609367621,0.9751818902161432,0.9500775196513191,0.3531053733426378,0.32786885245901637,0.3356991738540714,0.30873484103572596,0.017260915298854564,0.01626463450613569,0.000642571100784467,0.0004977620437934033,9.992106913713087e-06,40.00833177566528
3,1.0698443330923162,1.0501374215376182,0.5792795287839033,0.5734155905051309,0.9811296003395581,0.953443657594626,0.34473133286810886,0.31475409836065577,0.3440356802152586,0.30692639840730224,0.017324571936428338,0.016311701936799972,0.0006460375994163132,0.0004965892490276257,9.982247858412324e-06,59.36562991142273
4,1.060507824099821,1.0483169831213404,0.5772243603408878,0.5722027438585875,0.9665669328419378,0.9522284597158432,0.374738311235171,0.32131147540983607,0.3603277994456138,0.31455531275831305,0.017178064801022463,0.01628546058887341,0.0006370469450103139,0.0004985235194431343,9.968458805257915e-06,79.55741715431213
5,1.0603414084307397,1.048355661845598,0.5735434231355485,0.5717606876717239,0.9735959951310248,0.953189921134808,0.3614794138171668,0.32786885245901637,0.35603715191252333,0.3254812546869598,0.01725005080295624,0.016295274041715217,0.000643281039924199,0.0004996732602537166,9.950753362380552e-06,99.92109632492065
6,1.0622836219956637,1.0502003626745255,0.5768853210521093,0.5723216160399015,0.9707966205213591,0.9557574533048223,0.34193998604326586,0.32459016393442625,0.3361027199058589,0.32255853093305836,0.017213519166086575,0.01632014743861605,0.0006413684825790527,0.0004997748011803315,9.929149002914754e-06,120.35898470878601
7,1.062519308910117,1.0492374861826663,0.5751962032005326,0.5719546730401086,0.9746462287224013,0.9545656129473545,0.3621772505233775,0.32786885245901637,0.35943164090244545,0.30841413488472313,0.01725793976677271,0.0163023549391598,0.0006423336411491608,0.0005017956373850494,9.90366704775499e-06,140.4660506248474
8,1.0606274697136728,1.051737789834132,0.5768307930343399,0.5743040057479358,0.9675933453725587,0.9548675461382162,0.34263782274947663,0.31475409836065577,0.33353256966144507,0.3085521885521885,0.01718645973881058,0.016307000534944847,0.0006397114601961109,0.0005006862377755527,9.874332644514522e-06,159.9938247203827
9,1.059702105315848,1.0511445530125352,0.5757092973691803,0.5731333193231801,0.9679856065762101,0.9560224535035305,0.371946964410328,0.33114754098360655,0.363032993082276,0.31918172901779457,0.017189361482588296,0.01631840672649321,0.0006369328024275263,0.0005006067506820116,9.841174742707769e-06,178.79514622688293
10,1.059025113181642,1.05210263865893,0.5750958761882715,0.5730980279015713,0.9678584939520091,0.9580092559095289,0.34124214933705516,0.3180327868852459,0.33763105221965484,0.31795744936314124,0.01718701346304894,0.016347026495171373,0.0006388880660795118,0.0005001345026730483,9.804226065180608e-06,193.618155002594
