epoch,train_loss,val_loss,train_cls_loss,val_cls_loss,train_reg_loss,val_reg_loss,train_accuracy,val_accuracy,causal_mean,causal_std,causal_offdiag_mean,causal_offdiag_std,causal_min,causal_max
1,0.8256429585395656,0.8224741878439472,0.6942418619663817,0.6922862315853395,0.657005455797073,0.6509397625923157,0.5251279359664086,0.5220356768100735,0.267863929271698,0.04794706404209137,0.26749300956726074,0.04852832853794098,0.12313875555992126,0.4068130850791931
2,0.8158808386696557,0.8243376567005986,0.6867620903368525,0.6963348343014591,0.6455937095505565,0.6400139927864075,0.5454664742159822,0.5362014690451207,0.2672170400619507,0.047868769615888596,0.26684728264808655,0.048448994755744934,0.12278355658054352,0.4059913456439972
3,0.8030723090669862,0.828769362923481,0.6760691381035757,0.7027649650543709,0.6350158427256234,0.6300219893455505,0.5701351528670778,0.49370409233997903,0.26661616563796997,0.047794800251722336,0.2662476897239685,0.04837406054139137,0.12245523929595947,0.40522491931915283
4,0.7944509508008798,0.8258910803329532,0.6693056341450823,0.7016215948593204,0.6257265522448414,0.6213473081588745,0.5865371998425404,0.5,0.2660876512527466,0.04772749915719032,0.26572057604789734,0.0483059361577034,0.12216664850711823,0.40454185009002686
5,0.7805579014532117,0.832200326862015,0.6571233737673633,0.7095771812817232,0.6171726469777103,0.6131156086921692,0.6076630363469361,0.5325288562434418,0.26558029651641846,0.047661472111940384,0.2652147710323334,0.04823910817503929,0.12188821285963058,0.4038800597190857
6,0.7749303621329781,0.8310001105977005,0.6529617237928986,0.7097640247059769,0.6098431866166786,0.6061804890632629,0.6089752001049731,0.5115424973767051,0.2651475667953491,0.04760415107011795,0.26478347182273865,0.04818112030625343,0.12165236473083496,0.40331268310546875
7,0.7561894758622676,0.8264757062680824,0.6356602466617916,0.7066636349446876,0.6026461339891621,0.5990604758262634,0.639679832043039,0.5204616998950682,0.26469895243644714,0.047543857246637344,0.26433658599853516,0.048120152205228806,0.12140841037034988,0.40271738171577454
8,0.7408701010989855,0.8407073488765848,0.6216943931304287,0.7221421471172464,0.5958785404215459,0.5928260684013367,0.6587062065345756,0.4895068205666317,0.2643018364906311,0.04748919978737831,0.2639410197734833,0.04806490242481232,0.1211867406964302,0.4021848738193512
9,0.7226335261300111,0.8409179935675478,0.6046450550733565,0.7235260496359682,0.5899423408064062,0.5869596004486084,0.6709093294843197,0.48688352570828963,0.2639250159263611,0.04743659496307373,0.26356592774391174,0.04801173880696297,0.12097544968128204,0.40166571736335754
10,0.7068036143790078,0.8336120102738284,0.5898853635681597,0.7171523425911807,0.5845912537257544,0.5822983980178833,0.6806193412937934,0.5089192025183631,0.2636236846446991,0.04739266633987427,0.26326605677604675,0.04796735197305679,0.12080229818820953,0.4012486934661865
11,0.6870525483305475,0.8503254135408032,0.5710525495176036,0.7347842534341442,0.5799999993205024,0.5777058601379395,0.7038446398110484,0.5010493179433368,0.2633248269557953,0.04734813794493675,0.2629687786102295,0.04792238771915436,0.12063685059547424,0.40083497762680054
12,0.6660619362525905,0.8804036532093821,0.5509183934989086,0.7656480207148029,0.5757177017160858,0.5737782716751099,0.7169662773914185,0.4758656873032529,0.26306796073913574,0.04730919376015663,0.26271334290504456,0.04788307473063469,0.12050078064203262,0.4004674553871155
